id,text
1389073158800515074,"G boleh raguin Tuhan, tapi kdng rasa cemas tu muncul aj g jlasss bgt!"
1389071564402958336,"Jika kamu resah &amp; gelisah adukan saja kepada RABB""mu dan bacalah Al-Qur'an agar hati jadi sejuk dan kurangi menyinyir terhadap orang lain #bowochallenge #iwartabowochallenge"
1389070845910286338,"Pernah menjadi yg paling cemas, sampai dipaksa menjadi yang paling ikhlas."
1389070688376418307,"Resah resah gelisah,.Harap-harap cemas."
1389070596219170823,Dibuatnya gelisah pagi pagi 🙃
1389068966753038340,Jangan membandingkan dirimu dengan orang lain. Iri hati hanya membuat jiwamu gelisah. Jadilah diri sendiri.
1389068487021142019,"makin dewasa makin sering ngerasa gelisah, ngerasa sendiri. padahal banyak orang di sekitar. gimana ya ngeredam rasa ini?"
1389068371698720770,Sebagian jomblo mulai gelisah mikir bakal nikung gebetan siapa untuk diajak malming nanti..
1389067825231192065,Kalo cemasin orang dada gua selalu sakit .tolong jangan buat cemas :(
1389067813826953216,paling cemas kalau mama udah sakit.
1389066980833914883,Daritadi saya gelisah sampai sesak. What's wrong?
1389066471888756740,Cuaca panas.Jangan cemas.Jangan lemas.Mimik mimik yo mas
1389065756546011149,"Santai saja gak perlu cemas, karena ceritamu ditulis oleh penulis skenario terbaik. Dan pastikan hubunganmu dengan-Nya baik-baik saja :)"
1389062569822867456,Hidup aku huru hara. Tiada jalan penyelesaian. Takut akan sesuatu yang tak pasti. Gelisah tak tentu arah.
1389061902215516160,"Gelisah, galau kalau seharian ga ada kabar.."
1389061353499885569,"Kau kurang tenang gaa, kadang panikmu membuat orang sekelilingmu ikut gelisah, kurangi."
1389061353298567173,"Stelah kerjaan kelar.Hal paling bikin dega2an itu ya pas serah terima ke klien.....Kita yg udah pd abis.Bisa harap2 jd cemas..Sensasi nya....selalu bikin nggak mood makan,panikan,kepikiran tiap detail kerjaan 🤣"
1389061078902992897,"“Damai sejahtera Kutinggalkan bagimu. Damai sejahtera Ku Kuberikan kepadamu, dan apa yang Kuberikan tidak seperti yang diberikan oleh dunia kepadamu. Janganlah gelisah &amp; gentar hatimu” - Yohanes 14:27"
1389060264595648515,"Ternyata masalahnya di tekanan, pikiran yang tidak konsen yang membuat benda jadi terlihat sama saja, atau mungkin kebiasaan ketergantungan, gelisah jika tidak bertanya."
1389059944008220674,gelabah takde internet lagi gelisah daripada jawab test today.
1389058224964259845,Berjaya online at 9am. Tidur pun dalam keadaan gelisah what is wrong with me
