id,text
1389659287606104064,Gelisah gitudeh 😰 []
1389658145283133440,"“Hari ini adalah hari yang akan menjadi sebuah sejarah, namun hati yang penuh rasa resah dan gelisah akan selalu terbuka karena hatiku adalah rumah untuk mu.”"
1389657481035489280,Sumpah jadi gelisah banget abis baca ulang kasus rumah pulomas
1389657201250246657,Gelisah mendadak. Kenape ye..
1389656351454859265,"Cemas, tapi tak perlu melebihi kadar kehidupan..Kita adalah anugerah yang disenangi Tuhan"
1389653680828272641,Gabisa tidur karena cemas ga enak banget gabisa di bawa nonton juga
1389653080686301185,Kadang pemikiran sendiri yang bikin diri cemas dan takut buat nutupin mata sampai sampai ga tidur
1389651839184867328,"sudah lama alpa, gelisah yang pahit itu bertamu lagi. aneh, aku justeru menyambutnya dengan sukacita."
1389649945267896320,"Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mend #absolute"
1389649935587430404,Cintaku harus jujur....bila di dekatmu hatiku senang bila jauh hatiku gelisah....inikah cinta yang sebenarnya?
1389649306026610688,2.Aku dirimu tak berdaya.Karena sama  berharap yang sama.Yang tak mampu di utarakan.saling memiliki tanpa batas waktu sampai akhir.Tèe.Jangan biarkan menjadi gelisah.Basuhlah wajahmu dengam air wudhu.Munajatlah cinta dengan CintaNya.maka letakkan aku tidak lebih tinggi dariNya
1389648216241565697,"cerita secukupnya, tidak perlu terlalu cemas, jangan semaunya karena orang bisa kapan saja berubah bukan engga bisa dipercaya hanya saja lebih berhati hati"
1389645823860871168,Ga semua orang yg telah memiliki pasangan itu hati nya merasa bahagia barangkali aja dia sedang resah gelisah .tetapi jomblo adalah suatu kesenangan tersendiri...
1389643689731891201,bila kau menangis. .hatiku pun bersedih bila kau senang. .hatiku pun berbunga bila kau gelisah. .hatiku pun bergejolak ini semua karena. . . kita SEHATI
1389643282997649408,"Gelisah,.Terkunci dalam semua gerak.Berkecambuk dalam otak perdebatan brisik tentang keputusan. Berteman dengan ketakutan dan resiko"
1389642428659879936,Gelisah malam ini
1389642265459499010,Akan selalu ada tenang di sela sela gelisah
1389641642823409668,"ini kata"" untuk orang yang sering dihina. apa pun bentuk hinaan yang tertuang dari mulut mereka ,tenang teman dia hanya manusia sama seperti dirimu kecuali dia tuhan yang  menghina dirimu baru kau takut baru kau cemas"
1389638561108881409,"kasian ayahku, harinya abu. wajahnya gelisah seperti memikul derita yg harapnya istri dan anaknya tak tau."
1389636745977757698,dah lama tau tak kene hm tiba2 gelisah + sakit dada gila2 😭😭😭😭😭
1389636688108933121,dari tadi gelisah mulu kek ayam mau bertelur.
1389635659489374213,Tidaklah layak seorang muslim cemas dengan rezeqi karena setiap muslim akan digiring menuju rezeqinya
1389635149659140101,"hng, knp gelisah bgt ya :("
1389634832808878081,Jangan membandingkan dirimu dengan orang lain. Iri hati hanya membuat jiwamu gelisah. Jadi diri sendiri.
1389634474321666048,"sumpah anj dari td knp sii, suka bgt gelisah tbtb tanpa alasan 😩"
1389633908736598018,mulai gelisah sama perjalanan hidup yang gini gini aja
1389632652542570496,Cemas nian laju😭
1389630654724272130,"Bener kan lsg dikatain lebay cuma gara2 gitu doang 😢 iya gitu doang, tapi beneran bikin stress sama gelisah gak karuan 😔😔"
1389630171238465538,"Di malam hari, menuju pagi .Sedikit cemas, banyak rindunya"
1389628547526922242,"Cemas akan masa depan, apakah akan menjadi emas atau hanya rintihan."
1389627704807284738,ketika ingin bepergian atau mengerjakan sesuatu pasti gelisah dan tidak bisa tidur🤢
1389626622265888776,"Jika suatu saat cewek/cowok yang lo taksir ghosting, lo bakal :.A. Cuek.B. Cemas.C. Menunggu.D. Mencari"
1389625924161658880,O tiada ku gelisah.Akan masa menjelang.Ku berjalan serta Yesus.Maka hatiku tenang ..Setiap nyanyi lagu Tak ku tahu kan hari esok dibagian ini selalu pengen nangis😭.Soalnya aku menyanyikannya tapi tidak melakukannya😭.Maaf Tuhan aku terlalu sering khawatir😭😭
1389625759572979715,Disela-sela gelisah mungkin ada rindu yg harus kita tuai bersama.
1389625399659798529,"khawatir boleh, cemas boleh. gak ada yang melarang."
1389624673806143490,Jangan membandingkan dirimu dengan orang lain. Iri hati hanya membuat jiwamu gelisah. Jadi diri sendiri.
1389624156770107392,Bener bener gabisa disuruh diem nyimak sampe berjam-jam. Langsung cemas bawaannya.
1389623755672981506,"gelisah bet tiap aplot gambar di akun sebelah, kek trauma dirujak manusia random padahal gambar gw fine2 aja ga ofensif apa gimana."
1389623725780213773,"TAKUT, PASRAH, CEMAS, YA GIMANA YA???"
1389623351279120387,Ya Allah gue ga tau ko hati gue gelisah ya :(
1389622520114860032,Pernah gasi saling suka terus yaudah aja. GELISAH TIAP HARI ANJEEEEEEEER.
1389621456322007041,"udaa 2 harian tidur gue ga nyenyak bgt, kaya gelisah gt. kenapa yaaa :( []."
1389621245168164866,"Ya intinya bgtu gw lg ngerasain cape,sedih,kesel,gelisah. Kayak rasa tuh campur aduk di hati sama pikiran, di otak gw tu lg travelling berbagai byk hal dr masalah sampe Bahagia yg pernah gw rasain sampe detik ini."
1389621057129127936,"Agak cemas sebenarnya tadi kelas siang apa bisa kejar target. Tapi Tuhan ada aja kasih jalan, kelas rabu dipindah padahal kuis. Setidaknya nanti pagi bisa bermesraan dengan data sampai buka puasa"
1389620946097475584,"males gini kalo lagi diposisi gelisah, bimbang, bingung. buat ngambil suatu keputusan :("
1389620737061703684,Bawaannya jadi gelisah haha
1389618649632186368,"Malam ini dia terus mengoceh soal uang, ku jadi merasa bingung harus bagaimana. Pernah dia bilang jangan cemas soal uang, namun dia terus mengoceh soal uang."
1389616818520616960,"Yang buat cemas ketika ekspetasi sudah dijinjing tinggi, padahal secara logika reason seperti itu harusnya diterima"
1389616411161423878,"Asuhlah batinmu sendiri, jangan cemas dan gugup, karena disisiNYA lah jiwa jiwa yang tenang."
1389615347607638020,aduh cemas refreshing toner y o u di official store abis punyaku tinggal 1/4 lagi😟
1389615277881524225,"Kenapa takut pd lara sementara semua rasa kita bisa cipta !..Akan selalu ada tenang , disela-sela gelisah yg menunggu reda ..."
1389614997110550533,Beberapa hari ini tiap mo tidur gelisah gapaham deh kenapa:(
1389614520574697472,Aku berdansa di ujung gelisah.Mendambakan jiwa yang kehilangan arah
1389614295160279043,"Hospital kerajaan dah penuh , hospital swasta dah mula take over pesakit covid...At least kita ada medikal kad . Apa2 berlaku tak cemas. ..Bayar Rm80 .Coverage Rm150,000.00..Beza banyak kosong bang nak di banding apa yg kita bayar."
1389614001450061828,Kalo gelisah cari posisi terbaik sebelum tidur berasa kayak ada yg perhatikan ki 🙄
1389613176921092097,"Pantes gelisah aja drtd. Br ngeh td makan daging banyak,gym jg lumayan extra. Ditambah ujan. Mauu cuddlee 🥺👉🏻👈🏻"
1389613153860820994,"Gelisah tak menentu!! Itulah ketika ada ujian. Tapi hadapi dan lewati. dari dulu zaman sekolah juga begitu, masa sekarang ga bisa lewati begituan. Bisalah"
1389612385569103874,Kadang merasa cemas karena besok2. .Capek mikir.  Kudu istirahat. Ujung2nya liat ijo2 tpinya ntar stress lagi. .Emang wes sikluse huhuuuuuu -.-
1389612372227096581,"aku kecik hati. aku pujuk diri sendiri. orang lain kecik hati, aku gelisah, terfikir macam mana nak baik kan keadaan. I'm nothing."
1389612098636849152,Sial! Gue minum obat procold flu malah jadi efek sampingnya insomnia + gelisah. Anj!
1389611520527532033,"Suatu saat mesti yo ono balasane, koe cemas, koe ra dihargai, koe digawe nangis, koe disepeleke. .Siap-siap wae, kuwi kabeh ra kepenak rasane."
1389611504333299713,Jd kebiasaan dr sd kalau gua mikir sesuatu bakal jd cemas gk bisa tidr
1389611425404882944,"aku bisu, terpaku dalam lembaran mimpi.aku tersentak ketika denting waktu memanggilku.aku terbangun, gelisah"
1389610450954850311,Kapan ya pulang malem ke rumah abis main tanpa rasa cemas takut dimarahin? 😭🔫
1389610166941749249,harap harap cemas menunggu chatku dibalas 😔
1389610068182585344,"Tidak usah terlalu cemas, ceritamu ditulis oleh penulis skenario terbaik"
1389609901714935818,"kalo lagi blank sama gelisah, pasti ketikanku acak-acak an😭😭😭"
1389609227182764038,ada ba benda buat aku gelisah ni
1389608913075535878,Td liat dompet bagus tp krn ada tulisannya good vibes only jdnya gak kubeli...Soale ak lo mek manusia biasa sesekali ngerasa lelah sedih gundah gelisah dst. Takutnya tar gabisa kepake pas lg mode sadgurl...Mubadzir gak sustainabul.
1389608832150642689,Gelisah mulu napasii
1389606455402057732,Tidak usah cemas ceritamu ditulis oleh penulis skenario terbaik
