id,text
1389953924879110144,"abis minum kopi perasaan mesti gelisah gatau knapa, tp tiap kali dibuat nonton vidio yg sedih sedih gampang bgt nangisnya, jd lebih lega 🥺"
1389952303407329283,sumpah ya dari pagi rasanya gelisah terus
1389952181676122116,"Catia hari sabtu.Presntasi Statin hari sabtu..On Going :.Laprak PSKE.Laprak PO.Tugas tugas..DAN SAMPE SEKARSNG BELUM CLEAR LATIHAN CATIA 2 PRODUK HAHAHAH..mantab, masih mode nyantuy dahal did dalem ya gelisah haha"
1389951640610902020,tbtb gelisah 🤕
1389950790266023936,Memasuki jam jam rawan... Seliweran mulu di gak di tonton sayang kalo ditonton gelisah 😱
1389950557347934215,sering cemas buat hal sepele wajar ga si?
1389950141138755590,"Aku bsa berobat sndiri, gak harus kamu yg obati, jd dia blg gini, aku sengaja menabrak kamu biar kamu bsa aku culik, ha buat apa kamu nyulik aku, untung nya apa, kamu kn sdah tau kalo aku sdah bersuami, kamu gak mikir apa keluarga aku pasti lagi nyarik2in aku, mreka pasti gelisah"
1389949858929201161,"Bunda bunda busui, adakah yang pake retinol selama menyusui? Huhu resah gelisah tahun depan udah 30 nee dan belum skincarean anti aging 😭 gpp ga yah ke asi??"
1389949332971954180,"paling males udah diterima offernya tapi gak dijawab, kan aku jadi harap harap cemas😰"
1389946915614126083,"Jangan cemas jika ia ingin dilepas bebas, sebab tak semua yang dilepas akan berbalas kandas."
1389945512141328387,"Dia menunggu seseorang, menunggu perginya harapan untuk pulang, sementara berharap cepat kembali. Cemas tapi rindu."
1389945503178100743,"Pernah gasi ngerasain tiap hari gelisah karena mencemaskan masa depan, seharian mikirin ituuu aja terus, jujursih ya cape banget capeeeee bangett, cuma harus banyak plan abcdefg untuk kedepannya, cuma bisa bilang ke diri sendiri ""yo semangat yo"" :')"
1389944946099056644,Jangan membandingkan dirimu dengan orang lain. Iri hati hanya membuat jiwamu gelisah. Jadi diri sendiri.
1389943451165155331,"Aku makin gelisah, dan aku menangis sejadi jadinya, dan mereka cuma liatin aku nangis, dan mreka blg, tenang aja mbak gak diapa2kn kok dsini, mbak tinggal istrahat aja, mbak mau apa tinggal bilang aja, nanti bakal kami turuti permintaan mbak, kecuali 1 yaitu kabur, nanti mbak tau"
1389942166475079681,ko aku dekdekan kenapa ya??aku gelisah banget
1389941916167327744,Pemilik akun catalikepersonn sedang dilanda resah gelisah sama pembagian kinerja diri
1389941124026929153,"Seriusan dah seumur umur ga pernah cemas kalo nambah umur, tapi kok menginjak 24 ini gue cemas banget ya, rasanya kayak ""my time is running out""."
1389940195626164233,Gelisah melanda malam ini....
1389938820422922240,BENTAR LAGI CONCEPT CLIP... GUE UDAH GELISAH NJIRLAHH.. 😭🤧
1389938602742747138,gelisah gak enak bgt ya
1389937966957568000,"Banyak cemas membuat jantung berdetak kencang dan enggak karuan, takut di tagih pegawai lising karena banyak utang yg catatannya di selipin di dalam dompet yg teramat buriq tapi estetik,.ALHAMDULILLAH ITU TANDANYA KALIAN MASIH HIDUP."
1389937577243725827,Aku bahkan harap2 cemas
1389937561422893058,⠀..     Malam.Malam &amp; sedih.Membuat gelisah yang tak bertepi.Ada apa malam ini.Jangan bertanya lagi.Karena itu hanya serapah hati..⠀
1389936888929161218,Kali ni anak teething kemain fussy ya. Nak tidur pon gelisah
1389936660347949061,"""Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang, itulah ketenangan sejati"""
1389935794387750913,Agak tkut trus gelisah gitu...
1389935771952451587,"dulu dipaksa untuk menjadi yang paling cemas, sekarang terpaksa untuk jadi yang paling ikhlas :)"
1389935741946384385,Harini punya vss recording kan? Seronok la minhyuk dpt alami sendiri pembukaan insta joo. Kalau live mesti member gelisah sebab tengah keje hahahahaha
1389934811641380869,Si elsa Resah dan gelisah .#IkatanCintaEp262
1389933454880501763,kalo lagi kangen sm orang tuh pasti gelisah bgt
1389933380750307332,aduh aku psikopat apa yh seru bgt liat orang2 gelisah anjir astagfirullah😆😆😆
1389933246541025285,Kok ngerasa worry? Kek berasa cemas gt 😭
1389933085764907011,gelisah bgt njir
1389932913550970882,"Beberapa hari serasa beda, entah apa rasanya gelisah"
1389932185700880385,"klo misalnya nich moots kita jbjb trs aku lupa nama dia, mending jawab gmn ya tp pengen kenalan tp dah lama follownya aduhhhh gelisah galau merana,,,,"
1389932088644685825,Tiap ujan malem selalu aja gelisah
1389931956100423697,"Marah sendiri, cemas sendiri, menyesal sendiri 🤦🏻‍♀️"
1389931333380546565,cemas tidak menemukan ijazah smk di rumah
1389930041027350534,"""Apa aku harus jadi THR dulu biar kamu gelisah mikirin aku?""..Status orang bukan aku👆"
1389929885263564812,"Kenapa ya makin gua mikir kalo punya relationship itu membahagiakan, makin gua juga khawatir, takut, cemas :(("
1389928964035018757,"kalau emang harus cemas, lakuin apa yg pengen kamu lakuin, toh hidup juga cuman sekali ..-siapa yg datang ke pemakamanku saat aku mati nanti?"
1389928557288181762,"Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang, itulah ketenangan sejati."
1389928411808681984,anak orang lain minggat : ibuk gue cemas.anaknya sendiri minggat : nggak dicariin.
1389928260822204418,Sedikit cemas banyak rindunyaaaa
1389927931678396420,"Mau nanya, pernah gak sih kalian cemas sama hal yang kalian suka? Bahkan karena suka banget sama hal itu, sampe ngerasa itu adalah bagian dari hidup kalian. Tapi setiap kali ngelakuin atau inget hal itu kalian jadi cemas. Menurut kalian harus gimana? :("
1389927877131395075,Hidup ku dilingkupi perasaan cemas~
1389924504357330944,"Berikut ini adalah beberapa contoh kata kata bijak singkat, yang mungkin bisa membuat pikiran Anda yang kacau menjadi tenang dan hati yang gelisah bisa menjadi damai serta semangat yang pudar lekas kembali membara."
1389923794777624578,gue seharian gelisah bgt knp ya padahal ga ada apa-apa..tenang pas abis sholat doang abis tuh gelisah lagi😔
1389922774467039236,Harap-harap cemas 😌
1389922671178121218,"Sabar itu susah, gelisah, capek. Tapi sabar itu bagus. Jadi, sabarnya kapan ? Ya sabar aja dulu"
1389922028753285121,gelisah gak sih?
