text,label
"abis minum kopi perasaan mesti gelisah gatau knapa, tp tiap kali dibuat nonton vidio yg sedih sedih gampang bgt nangisnya, jd lebih lega 🥺",0
sumpah ya dari pagi rasanya gelisah terus,1
"Catia hari sabtu.Presntasi Statin hari sabtu..On Going :.Laprak PSKE.Laprak PO.Tugas tugas..DAN SAMPE SEKARSNG BELUM CLEAR LATIHAN CATIA 2 PRODUK HAHAHAH..mantab, masih mode nyantuy dahal did dalem ya gelisah haha",1
tbtb gelisah 🤕,0
Memasuki jam jam rawan... Seliweran mulu di gak di tonton sayang kalo ditonton gelisah 😱,0
sering cemas buat hal sepele wajar ga si?,0
"Aku bsa berobat sndiri, gak harus kamu yg obati, jd dia blg gini, aku sengaja menabrak kamu biar kamu bsa aku culik, ha buat apa kamu nyulik aku, untung nya apa, kamu kn sdah tau kalo aku sdah bersuami, kamu gak mikir apa keluarga aku pasti lagi nyarik2in aku, mreka pasti gelisah",0
"Bunda bunda busui, adakah yang pake retinol selama menyusui? Huhu resah gelisah tahun depan udah 30 nee dan belum skincarean anti aging 😭 gpp ga yah ke asi??",0
"paling males udah diterima offernya tapi gak dijawab, kan aku jadi harap harap cemas😰",0
"Jangan cemas jika ia ingin dilepas bebas, sebab tak semua yang dilepas akan berbalas kandas.",0
"Dia menunggu seseorang, menunggu perginya harapan untuk pulang, sementara berharap cepat kembali. Cemas tapi rindu.",0
"Pernah gasi ngerasain tiap hari gelisah karena mencemaskan masa depan, seharian mikirin ituuu aja terus, jujursih ya cape banget capeeeee bangett, cuma harus banyak plan abcdefg untuk kedepannya, cuma bisa bilang ke diri sendiri ""yo semangat yo"" :')",1
Jangan membandingkan dirimu dengan orang lain. Iri hati hanya membuat jiwamu gelisah. Jadi diri sendiri.,0
"Aku makin gelisah, dan aku menangis sejadi jadinya, dan mereka cuma liatin aku nangis, dan mreka blg, tenang aja mbak gak diapa2kn kok dsini, mbak tinggal istrahat aja, mbak mau apa tinggal bilang aja, nanti bakal kami turuti permintaan mbak, kecuali 1 yaitu kabur, nanti mbak tau",1
ko aku dekdekan kenapa ya??aku gelisah banget,1
Pemilik akun catalikepersonn sedang dilanda resah gelisah sama pembagian kinerja diri,0
"Seriusan dah seumur umur ga pernah cemas kalo nambah umur, tapi kok menginjak 24 ini gue cemas banget ya, rasanya kayak ""my time is running out"".",1
Gelisah melanda malam ini....,0
BENTAR LAGI CONCEPT CLIP... GUE UDAH GELISAH NJIRLAHH.. 😭🤧,0
gelisah gak enak bgt ya,0
"Banyak cemas membuat jantung berdetak kencang dan enggak karuan, takut di tagih pegawai lising karena banyak utang yg catatannya di selipin di dalam dompet yg teramat buriq tapi estetik,.ALHAMDULILLAH ITU TANDANYA KALIAN MASIH HIDUP.",0
Aku bahkan harap2 cemas,0
⠀..     Malam.Malam &amp; sedih.Membuat gelisah yang tak bertepi.Ada apa malam ini.Jangan bertanya lagi.Karena itu hanya serapah hati..⠀,0
Kali ni anak teething kemain fussy ya. Nak tidur pon gelisah,0
"""Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang, itulah ketenangan sejati""",0
Agak tkut trus gelisah gitu...,1
"dulu dipaksa untuk menjadi yang paling cemas, sekarang terpaksa untuk jadi yang paling ikhlas :)",0
Harini punya vss recording kan? Seronok la minhyuk dpt alami sendiri pembukaan insta joo. Kalau live mesti member gelisah sebab tengah keje hahahahaha,0
Si elsa Resah dan gelisah .#IkatanCintaEp262,0
kalo lagi kangen sm orang tuh pasti gelisah bgt,0
aduh aku psikopat apa yh seru bgt liat orang2 gelisah anjir astagfirullah😆😆😆,0
Kok ngerasa worry? Kek berasa cemas gt 😭,0
gelisah bgt njir,1
"Beberapa hari serasa beda, entah apa rasanya gelisah",1
"klo misalnya nich moots kita jbjb trs aku lupa nama dia, mending jawab gmn ya tp pengen kenalan tp dah lama follownya aduhhhh gelisah galau merana,,,,",0
Tiap ujan malem selalu aja gelisah,0
"Marah sendiri, cemas sendiri, menyesal sendiri 🤦🏻‍♀️",0
cemas tidak menemukan ijazah smk di rumah,0
"""Apa aku harus jadi THR dulu biar kamu gelisah mikirin aku?""..Status orang bukan aku👆",0
"Kenapa ya makin gua mikir kalo punya relationship itu membahagiakan, makin gua juga khawatir, takut, cemas :((",1
"kalau emang harus cemas, lakuin apa yg pengen kamu lakuin, toh hidup juga cuman sekali ..-siapa yg datang ke pemakamanku saat aku mati nanti?",0
"Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang, itulah ketenangan sejati.",0
anak orang lain minggat : ibuk gue cemas.anaknya sendiri minggat : nggak dicariin.,0
Sedikit cemas banyak rindunyaaaa,0
"Mau nanya, pernah gak sih kalian cemas sama hal yang kalian suka? Bahkan karena suka banget sama hal itu, sampe ngerasa itu adalah bagian dari hidup kalian. Tapi setiap kali ngelakuin atau inget hal itu kalian jadi cemas. Menurut kalian harus gimana? :(",1
Hidup ku dilingkupi perasaan cemas~,0
"Berikut ini adalah beberapa contoh kata kata bijak singkat, yang mungkin bisa membuat pikiran Anda yang kacau menjadi tenang dan hati yang gelisah bisa menjadi damai serta semangat yang pudar lekas kembali membara.",0
gue seharian gelisah bgt knp ya padahal ga ada apa-apa..tenang pas abis sholat doang abis tuh gelisah lagi😔,1
Harap-harap cemas 😌,0
"Sabar itu susah, gelisah, capek. Tapi sabar itu bagus. Jadi, sabarnya kapan ? Ya sabar aja dulu",0
gelisah gak sih?,0
"Yang paling berharga bagi seorang Pria adalah hati seorang wanita yang ia cintai dan wanita itu mencintainya...Banyak gelisah karena tak sampai.Banyak peperangan karenanya.Banyak raja raja tumbang karena Cinta. Pengusaha hancur karenanya. jika ia tentram dengan kekasih, selesai!",0
"orang nampak kita tenang, happy macam takda problem sebab hanya satu senyuman yang kita lempar keluar tetapi sedih resah dan gelisah berjuta yang kita pendam sendiri, hanya kita yang tahu .",0
Cara mengatasi beberapa macam masalah :..• Emosi melulu = Wudhu .• Sering sakit = Silahkan puasa.• Wajah gelap = Sholat tahajud .• Miskin melulu = Bersedekah .• Gelisah = Banyak doa.• Hati sempit = Baca Al-Quran.• Susah bahagia = Sholat tepat waktu,0
"ayang malam iko pikiran ambo gundah yng pikiran abng kemanomano , abng cemas nian, kau pai kek siapo kemano, ancur rasonyo ati ko, sakit nian, yaallah ,",0
ada kalanya pen kabur dlu dari wa klo dah hectic kek gini. pusing. ngeri dan cemas ngeliat notifikasi,0
"cape overtingking,cape cemas berlebihan, cape pokonya cape",1
buto lah prediction malam ni. cemas siak aku,0
"Terkadang cewek suka nyesek, kangen, cemburu, gelisah, kecewa, sedih dan apapun itu pasti cuma bisa dipendem dan berharap cowoknya peka.",0
Ya gitu dong seenggak'e ngabari ben gak gae wong gelisah koyo ngene wkwkkwkw,0
huh gelisah bgt buat hari besok jujur gue blm siap... :(,0
"Takut dan banyak spekulasi , cemas",1
"Akhirnya co jg setelah sekian purnama berfikir keras😭😭 udh mulai deg2an dan cemas dpt pc siapa, padahal rilis aja blom huah😖",0
Hati menjadi resah dan gelisah ketika kita terbiasa berandai-andai dalam menyikapi persoalan hidup.,0
Dijual : Rasa cemas..Sepertinya sekarang menjadi komoditas yang laku dijual.,0
"Gak tau kenapa.Badan ini lunglai, otak tak jernih, dan diri gelisah.",1
Tadi waktu masi dikantor ibu wa di grup keluarga klo ibu tiba2 anosmia dan pulang kerja ibu langsung swab antigen dan hasilnya positif. Besok sekeluarga swab pcr. Mohon doany biar hasil swab pcr sekeluarga negatif. Jujur aku cemas 😭,0
Semakin dekat hari Raya Idul Fitri ada rasa gelisah dan resah walaupun aq bisa menutupi dgn senyumku..Sudah hampir 8 thn hari Raya tanpa makna dan terbiasa sendiri...Hanya bersyukur kepada Allah masih dpt berpuasa Ramadhan dan Lebaran...Dah Gitu Ajah,1
korang pernah tak rasa bersalah sangat sangat pastu korang dah minta maaf... orang tu maaf kan tapi kau tetap rasa gelisah? please lah somebody advice aku macam mana nak hilangkan perasaan ni,0
"Biar Allah aja yang jawab, sekarang gausah cemas. Loss 😂",0
"Kalo kalian percaya Tuhan, kenapa.harus gelisah gitu loh?",0
"Dulu ga pulang 1 bulan aja gelisah rasanya, sekarang 2x lebaran di perantauan biasa aja..Sekuat itu pengaruhmu dulu mas haha",0
"D-1. Nunggu pala botak Baek harap"" cemas akan dipublish atau gak.Karena dia udah berpesan: klo ternyata gak dipublish katanya gak bagus. dia gak pede krna gak pernah botak dari lahir.padahal mah klo dah sayang mo digimanain juga ya ttep ganteng aja😂 #BAEKHYUN𓃥 #BoostEXOBrandRep",0
aku galau gelisah merana,1
Aku memalukan diri aku sendiri dengan terminum depan orang dekat marrybrown 😭,0
kok skrg bnyk sender yg minta au bikin nangis trs explain tags nya like literally brutal.. gue agak khawatir..,1
alasan kalian tetap hidup karena apa?,0
️️.️️.Kak Hoseok kenapa makin 🔥🔥 yaa (╥﹏╥)..️️.️️,0
"Kenapa ya setiap masuk gramed aku tu kebelet pup --""",0
"Sedih bangat, berasa patah hati pdhal ngk tau alasannya apa 😥",1
"Virtual gaada real life ga ada sadar sadar hidup bukan soal cinta, tapi cinta bisa membawa kebahagiaan juga. """,0
"Terimakasih untuk diri sendiri,,.Walaupun tidak dibahagiakan orang lain,, tapi saya bisa bahagiakan diri saya sendiri-",0
Bila dah tolong.. jijak pala pulak.. kerja teruk sikit pon tak boleh.. puiihh.. g mati lagi bagoih laa,0
"""Eh gw abis bukber sm doi""-tmn gw...Sebentar deh, bukannya kalo gak puasa juga kalian emg makan bersama kan? Kenapa gapernah bilang.""Eh gw abis makber sm doi"".😬",0
Kenapa vibesnya kek cewe mafo aoakndrhtbgahs,0
kenapa gelisah begini dah🥺 campur aduk bgt perasaan,1
"""Segala sesuatu pasti akan muncul dan lenyap bgtu seterusnya, yang pasti kekal hanya Yang Absolut. kalo sadar akan hal itu tdk akan ada org yg stres ato sakit hati."".- Om Ongky Natsir 2021",0
Ku mau tarawih dulu.... .Kalian kalau lgi g ada halangan jangan lupa sholat yaaaa.Bye bye,0
"Baru ngeh, kenapa Jisung jadi Lambeosaurus😭 berasa kang ghibah kan yaaa",0
"Sahabat sendiri nusuk dari belakang aja gapernah benci, kalo saya benci anda berarti anda parah sekali. Astagfirullah wkwkwk",0
Orang yang tidak bisa melindungi diri sendiri tidak akan bisa melindungi orang lain.,0
Akun vinny kenapa ya?,0
"Hm gaya hidup gue tipe yang minimalis, dari awal tahun mau ganti hp aja mikir terus, udah butuh belum ya..",0
"pdhl tinggal pahamin dan terima fakta, terus selesein masalahnya, gaperlu sok tau dan sok bener terus marah2 pake urat. why people here do not know how to chill",0
"Kenapa kebab piscok ngga pernah avail, padahal di menu adaaa :(((",0
"kenapa dia gemes, yatuhan",0
kenapa pada tolol tolol,0
The worst case kalo hujan tuh kalo plus angin plus petir plus mati lampu,0
"Hidup telah mengajarkan kita bahwa cinta tidak berisi ""saling memandang"", tapi cinta berisi ""bersama-sama melihat satu arah yang sama",0
kenapa dalam dunia ni aku je nak ikut kepala memasing kenapa aku?,0
"Kim Jiwon ingin menjadi seorang aktris seperti Natalie Portman yang sangat serbaguna dengan perannya, sangat percaya diri dan memiliki banyak karisma",0
tolonglah boh nambah stres gik,0
"mamah pernah bilang kalo ngelakuin sesuatu ga ikhlas, mending gausah dikerjain, tapi giliran akuu ga kerjain tuhh kenapa diomelin😔",0
"Gw gasuka cemas anjir, gasuka wehhh😭",1
adik aku da lama gaketemu orang. terus sekalinya mau ketemu orang baru malah takut dan gelisah bgt.......,0
Sampai kapan dana error gini😩 jadi gelisah belum ngirim saldo pemenang 🤧,0
Tak seharusnya aku cemas perihal takdir.Sebab selembar daun pun Allah sudah atur akan jatuh kapan dan di mana.,0
"Papa secara tidak langsung banyak mengajarkan soal kehidupan, seperti kejadian tadi sore beliau kehilangan dompet ketika bepergian dan beliau sedikit gelisah. Pas kutanya soal isinya apa aja dan jawabannya cukup mengejutkan.",0
"Hati nurani adalah bisikan Tuhan pada kita. Jika kita berbuat sesuatu, hati nurani kita gelisah, tandanya kita melakukan perbuatan tak baik.""",0
"Hadapin dunia tidak usah terlalu cemas akan hari esok semua ada takarannya, Tuhan itu adil &amp; Tuhan tau apa yang kau butuhkan",0
"Setidak nya aku pernah menjadi .Yang paling cemas,sebelum menjadi.Yang paling ikhlas.",0
"Makan ga tenang,tidur pun gelisah,hidup dalam was was, biasa nya ya cuman tulus jalani nya, ikhlas,hapi juga gua jalaninya,nah biasanya orang kek gini ga bisa di apa apain 😂",0
"Berkompromi dengan isi hati . Gelisah , gundah , senang , sedih . Kyk naik gondola tapi ga tau kapan turun dr wahana .",1
"Cemas, Bahagia dan Kamu. .Terimakasih Tuhan.",0
"cemas, dk pernah belanje online selain di shopee :(",0
Berhentilah mencemasan sesuatu secara berlebihan. Cemas adalah buah dari pemikiran. Berpikir positif akan membuat hidup jadi lebih tenang.,0
Hujan ya.. biarin aja. Supaya ga gelisah pengen keluar terus😊,0
Allah tau kok. Ngapain cemas? Bakal dijagain dgn tenang. Masak iya ga percaya sama Allah?,0
Gelisah sekujur badan; mood acak-acakan; nggak tau arah; cepatlah usai.,1
"Tadi lalu tepi Tanah Perkuburan Selayang Baru. Ada jenazah Covid-19. 4 orang frontliners sedang uruskan jenazah, lengkap berPPE. Hujan sangat lebat. Jalan tu sempit, so bertembung dengan 3 kereta. Nampak muka diorang macam gelisah dan kelam kabut. Saya reverse, bagi laluan.",0
"Hari demi hari, harapan itu kian bertumbuh, semakin aku merasa dekat, semakin banyak yg kuharapkan darimu, dan kadang2 aku menjadi  cemas karena hal tersebut. Sampai2 aku menjaid khawatir, khawatir kalau hal itu membuat harapan ku menganggu. Terutama menganggu km.",1
Hari ini kenapa ya? Kok banyak poto yang membuat hati resah dan gelisah di tengah puasa🙂,0
