text,label
gelisah bgt astaga,1
"tidur susah, pikiran kacau, hati gelisah. Semua tak selaras",1
"Serba salah, mundur sayang, maju ragu. Diem di tempat resah dan gelisah 😌😌😌",1
Udah ngalihin fokus ke yang lain tapi tetep cemas,1
"Resah dan gelisah deh mimin, dah sebulan lewat coy. Maksudx apaan.",1
setiap istirahat pasti gelisah kyk ada yg ganjel tp apaan ya,1
"Rasanya takut, cemas, apa saya bisa? Dan semoga keluarga saya atau kita terlindungi :)",1
Pernah gk sih ngerasain gelisah tapi gk tau sebabnya apa?,1
"udaa 2 harian tidur gue ga nyenyak bgt, kaya gelisah gt. kenapa yaaa :( [].",1
"Bener-bener cemas, pengen nangis.",1
"selalu gelisah tiap malem, pdahal gatau kenapa, salah apa. aneh.",1
"bingung ga enak bgt akhir"" ini tiap mau tidur bawaannya gelisah terus",1
"kdg yang dibutuhin kalo lagi ada masalah adalah ketawa-ketawa sampe lupa kalo lagi ada masalah, pas inget lagi kayak gelisah aj gitu “yahh anj ternyata msh ada beban sedih” asdfghjklzxccvbnm",1
Sebab cemas ini adalah kamu.,1
Kadang pemikiran sendiri yang bikin diri cemas dan takut buat nutupin mata sampai sampai ga tidur,1
"Tiap bangun tidur pasti gelisah dan deg2an, sampe kapan cobak🙂",1
"Cuman bisa bersemoga, walaupun harap2 cemas kalo awalannya begini....",1
"restive = gelisah, resah",1
"""Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang, itulah ketenangan sejati""",1
"Kalo cowoknya sakit, sebenarnya cewek itu juga ngerasa sakit secara ga langsung. Perasaan nya pasti gak tenang dan gelisah. :')",1
"Aku pernah menjadi orang paling cemas sebelum aku menjadi orang paling ihklas, aku juga pernah menjadi orang paling khawatir sebelum semuanya berakhir",1
Berjaya online at 9am. Tidur pun dalam keadaan gelisah what is wrong with me,1
Gk bisa tidorr.Gelisah aja bawaannya,1
Udah cemas ngangjat telponnya,1
sedikit resah. sedikit gelisah. yang dirasa selalu merasa bersalah. maaf jikalau saya belum bisa menjadi yang terbaik seperti yang sudah sudah:’,1
Gelisah bgt dah dari tadi pagi 😭😭😭,1
di bikin gelisah mulu anjg,1
Ngantuk tp gelisah pas tidur tuh gimana,1
Ini gua kenapa ya...Udah mood berantakan trus tuh jantungnya kayak detaknya kuat banget... gelisah banget rasanya.Ada sesuatu apa ya???,1
GAJE BGT SI RA TBTB GELISAH KEKK PAAAN SIHHH GBLOK,1
"Aku patah dan rapuh, aku terluka, aku sudah tak sanggup lagi menahan gelisah, menahan rasa sayang. Samapi sekarang pun aku di abaikan tak di lihat bahkan di tinggalkan jauh. Aku memang tidak seperti yg dia inginkan, mangkanya aku mundur saja ya.",1
"# saran lagu yang bikin tenang dong, gatau kenapa tiba-tiba muncul perasaan gusar/gelisah gini. Thanks!",1
Gelisah terooosss huuu,1
kenapa hari ini hati rasanya nggak baik ..cemburu ?.gelisah ?.kecewa ?.merasa gagal ?,1
Jd kebiasaan dr sd kalau gua mikir sesuatu bakal jd cemas gk bisa tidr,1
"Dari kemarin kemarin ngerasa ga mood, sensitiv bgt parah, perasaan gelisah, selalu dibuat kaget dan bnyk kejutan setiap harinya yg hampir bikin otak gue mo meledak, semua org jadi sasaran atas mood yg naik turun.Tpi hari ini ngerasa bersyukur banget drama perkuliahaan ini slesai",1
"Malam ini dia terus mengoceh soal uang, ku jadi merasa bingung harus bagaimana. Pernah dia bilang jangan cemas soal uang, namun dia terus mengoceh soal uang.",1
Ngerasa gelisah bgt akhir2 ini.,1
Yak allah gelisah saya,1
tapi hatinya mah tetep gelisah walau mulut ngomong,1
"menunggu ketidakpastian, harap harap cemas",1
"pernah jadi orang yang paling cemas, sebelum jadi orang yang paling ikhlas",1
"kalian waktu baca au pernah gak sih sampai kebawa ke rl, maksudku suasananya, rasanya. .soalnya aku kok gini yaa 😭.mood ku jadi naik turun, ikut gelisah mulu. waktu baca au yang topik nya soal mental illness 🙁 hari-hari ku jadi gak tenang....dan sekarang aku takut.",1
"Hai, mau cerita... Akhir-akhir ini aku merasa gelisah, susah tidur, aku cari di google katanya sih gejala depresi ringan, aku dulu pernah di bilangin tmn mama ku psikolog ""jangan banyak berfikir yg gk penting kamu mudah depresi"" trs aku sering bernafas tdk beraturan.",1
"udah beberapa hari ini rasanya gelisah mulu, skrg mual, kaya org ...",1
O tiada ku gelisah.Akan masa menjelang.Ku berjalan serta Yesus.Maka hatiku tenang ..Setiap nyanyi lagu Tak ku tahu kan hari esok dibagian ini selalu pengen nangis😭.Soalnya aku menyanyikannya tapi tidak melakukannya😭.Maaf Tuhan aku terlalu sering khawatir😭😭,1
